,제목,URL,신문사,작성일,세부내용,url
0,"이재명 '돈 봉투 의혹' 사과…유승민 ""사과 말고 사퇴하라""",,한국경제,2023.04.17,"유승민 전 국민의힘 의원은 17일 이재명 더불어민주당 대표가 '2021년 전당대회 돈 봉투 의혹'에 대해 공개 사과하자 ""이 대표는 돈 봉투 사과할 자격조차 없는 사람""이라고 날을 세웠다. 유 전 의원은 이날 페이스",https://n.news.naver.com/mnews/article/015/0004833580?sid=100
1,"'돈 봉투 의혹' 사과한 이재명…유승민 ""증거 안 나왔으면?""",,MBN,2023.04.18,"유승민 전 국민의힘 의원이 이른바 '돈 봉투 살포' 의혹에 대해 사과한 이재명 더불어민주당 대표를 향해 ""사과할 자격조차 없다""고 일갈했습니다. 유 전 의원은 지난 17일 자신의 SNS를 통해 ""이재명 대표가 사과한",https://n.news.naver.com/mnews/article/057/0001736379?sid=100
2,이상이 교수 “‘돈 봉투 의혹’ 송영길의 ‘야당 탄압’ 프레임? ‘방탄 셈법’ 틀렸다”,,디지털타임스,2023.04.18,"“조기 귀국해 진실 밝히고 석고대죄 하는 게 민주당에 대한 마지막 정치적 도리일 것” “송영길 前 대표, ‘정치 수사’와 ‘야당 탄압’ 프레임 설정…게다가 공개적 ‘꼬리 자르기’ 시도” “어디서 많이 들어본 말…李 ",https://n.news.naver.com/mnews/article/029/0002795229?sid=100
3,"이상민 ""시궁창 냄새나는 사건"" 정의당 ""일벌백계해야""",,미디어오늘,2023.04.17,"더불어민주당의 2021년 돈봉투 파문과 관련해 ""시궁창 냄새나는 사건"" ""일벌백계해야 한다"" ""이재명 대표는 사과할 자격도 없다""는 성토가 나온다. 정의당도 ""일벌백계해야 한다""고 촉구했고, 국민의힘은 이재명 대표의",https://n.news.naver.com/mnews/article/006/0000117701?sid=100
4,"유승민 ""이재명 '전대 돈봉투' 사과, 증거 때문…사퇴해야""",,중앙일보,2023.04.17,"유승민 전 국민의힘 의원은 17일 이재명 더불어민주당 대표가 ‘민주당 전당대회 돈 봉투 살포’ 의혹에 대한 사과 입장을 밝히자 ""사과할 자격조차 없는 사람""이라며 ""수많은 부패혐의와 측근 다섯 명의 죽음에 책임이 있",https://n.news.naver.com/mnews/article/025/0003273661?sid=100
5,이재명 ‘돈봉투 의혹 사과’에...유승민 “사과 말고 사퇴”,,파이낸셜뉴스,2023.04.18,"이재명 더불어민주당 대표가 17일 지난 2021년 민주당 전당대회에서 불법 정치자금이 오갔다는 의혹에 관해 공식 사과한 가운데, 유승민 국민의힘 전 의원은 이를 두고 “이재명 대표는 돈봉투 사건에 대해 사과할 자격조",https://n.news.naver.com/mnews/article/014/0004998397?sid=100
6,이재명 ‘돈봉투 의혹’ 사과에 유승민 “사과 말고 사퇴하라”,,세계일보,2023.04.17,페이스북서 “李 사과는 증거 때문. 부패 혐의자가 어떻게 제1당 대표인가” 비판 이재명 더불어민주당 대표가 17일 오전 서울 여의도 국회에서 열린 최고위원회의에서 2021년 전당대회 당시 불법 정치자금 의혹과 관련해,https://n.news.naver.com/mnews/article/022/0003803466?sid=100
7,"유승민 ""이재명, 돈봉투 사건 사과할 자격 없어…사퇴해야""",,뉴시스,2023.04.17,"기사내용 요약 ""李 사과, 증거 때문…어물쩡 지나갈 일 아냐"" ""부패 혐의자가 어떻게 국회 제1당 대표인가"" [서울=뉴시스]최영서 기자 = 유승민 전 국민의힘 의원은 17일 ""이재명 대표는 돈봉투 사건에 대해 사과할",https://n.news.naver.com/mnews/article/003/0011807490?sid=100
8,"유승민 “이재명, 돈봉투 사건 사과할 자격 없어…사퇴하라”",,동아일보,2023.04.17,유승민 전 의원은 17일 이재명 더불어민주당 대표가 2021년 민주당 전당대회 과정에서 불거진 이른바 ‘돈봉투’ 의혹에 대해 사과한 것을 두고 “이 대표는 돈봉투 사건에 대해 사과할 자격조차 없는 사람”이라고 비판했,https://n.news.naver.com/mnews/article/020/0003491840?sid=100
9,"유승민 ""이재명 '전대 돈봉투' 사과는 증거 때문…사퇴해야""",,TV조선,2023.04.17,"유승민 전 국민의힘 의원은 17일 이재명 더불어민주당 대표가 '민주당 전당대회 돈 봉투 살포' 의혹에 대해 사과하자 ""사과할 자격조차 없는 사람""이라며 ""수많은 부패혐의와 측근 다섯 명의 죽음에 책임이 있는 사람이 ",https://n.news.naver.com/mnews/article/448/0000405108?sid=100
