,제목,작가,별점,조회수
0,어디사세요,차승차박,9.81,72만
1,불손한 친구들,불손,9.88,127만
2,파도의 포말,라떼,9.88,11만
3,나는 0대생,ls-e****,9.80,176만
4,언제나 반짝이는,주주,9.02,12만
5,하루땃따,땃따,9.88,332만
6,나는 곰인이다,Gon3,9.61,51만
7,DOSA: 암행의 수호자들,endA 보리울 이끼곰팡이,9.48,2.3만
8,청춘 모래시계,나루모,9.67,1.4만
9,아빠는 N살,유영근,9.90,"4,758만"
10,숨비야울어 & 소여소설,jane****,9.80,165만
11,신인,던마,9.64,7.6만
12,프라이데이,선깡,9.66,5만
13,곰팡남녀,시미씨,9.90,727만
14,상의원,kimn****,9.88,80만
15,핫캣일기,luna****,9.80,146만
16,부부사기단 늬우스,구영필,9.79,125만
17,INDOC [인독],DUDE,7.73,1.7만
18,머맨백(Merman Bag),윤이,9.79,8.5만
19,다람쥐 란란,하리,9.84,136만
20,제제가 돌봐드려요,아델,9.56,4.5만
21,만렙 할배,soul****,9.86,41만
22,내 담당일진!,하운,8.42,59만
23,고양이와 집사,좋은형,9.78,18만
24,겨울살이,한 겨울,9.64,46만
25,산군대잔치,다영좍가,9.87,444만
26,rock 페스티벌,아리솔,8.01,848
27,불태워라 혼!,푸고문,9.65,2.3만
28,불사소년,유대환,7.71,6.5만
29,호붕빵 아저씨,정다운,9.83,15만
30,나홀로 짠,is****,9.82,56만
31,두억신,john****,8.05,1.6만
32,라이프,닌영,9.71,3.8만
33,제제와 함께,노아,9.49,252만
34,안녕!도깨비야,고랑이,9.77,6.9만
35,소중한 하루를 살다,윤공룡,9.65,29만
36,오늘부터 G.A.B님과 함께 살게 되었습니다,ahnl****,8.27,16만
37,맹랑맘마,jjun****,9.59,33만
38,공동급식구역,청건,9.93,31만
39,30대 백수 외톨이 일기,가바나,8.74,57만
40,페이탈 레시피,tige****,9.22,7만
41,가족입니다.,오로로싸싸,9.41,247만
42,"알고 싶니 마음, #심리툰",팔호광장,9.79,355만
43,고고고,뀰,9.86,158만
44,우주동물원,수지수,9.75,43만
45,안녕오존,오존,9.88,186만
46,조금 수상한 연애시뮬레이션,초록이슬,9.84,"6,982"
47,굥이의 하루,굥이의하루,9.68,152만
48,구나의 그랬구나,GUNA,9.88,154만
49,김치걸 밀크티보이,글그림진,9.86,470만
50,카나와 초나의 독일,카나,9.86,619만
51,부온아페티토_찌맥툰,찌맥이언니,9.89,41만
52,더 히트맨,WOLFY,9.28,8.3만
53,파랑새 죽이기,객식구,9.63,4.6만
54,낯가리는 관종,시논,9.82,733만
55,직장인 다이어리,클락스틸,9.34,265만
56,지배자들,예아,9.75,7.3만
57,루텔,xkaw****,9.89,"1,193만"
58,여대생존기,이빨요정,9.88,510만
59,집에서 뽀짝뽀짝,그랑,9.65,13만
60,X-시점,식봉이,9.14,2.8만
61,봄과 여름 사이,힁,8.92,9.3만
62,오디네리 피플,안카,9.47,23만
63,육아의 계절,bomb****,9.44,33만
64,집에서 뒹굴뒹굴,낭코,9.77,105만
65,미필은 노하이,복면,9.85,"1,590만"
66,별을 향해,직냥이,8.77,8.1만
67,외국 in 한국,wae_****,9.85,"1,052만"
68,재테크는 스크루지,sk****,9.53,47만
69,비타(VITA),pnguin,9.51,5.3만
70,아타나시아,Tana,9.73,64만
71,해체부대,이량,9.56,40만
72,백발의 유성,백바루,9.00,17만
73,후손들의 이야기,셋하나둘은둘셋하나,9.86,35만
74,158동 진상부부,진상부부,9.50,338만
75,누나미워!,쏘토리,9.88,225만
76,제목이 7080 만화,캰듸,9.89,238만
77,발푸르기스의 너머,귄,9.72,12만
78,타챠노트,타챠,9.79,430만
79,연애사색,정니월드,8.66,10만
80,결혼하고 싶지 않았는데 못하게 되었다.,정변,9.85,438만
81,뱀파이어의 연금술,달 심청,9.70,49만
82,북한의 아이,검은흑기린,9.18,125만
83,우리가 되기 위해서,멍뭉,9.34,3.2만
84,가상친구,김호준,9.69,3.9만
85,집에 핀 봄팡이,봄팡이,9.49,19만
86,투헤븐 (to heaven),그림툴,9.49,1.6만
87,언제라도,ekth****,9.89,14만
88,끄아악은 못말려!,끄아악,9.90,10만
89,좀비탈출록 좀순,18****,9.43,1.2만
90,커넥티드 월드,담디담,9.77,3만
91,일상과 망상,닭달이,8.94,33만
92,난봉꾼의 메타픽스,1064****,9.58,5.6만
93,아무도 모르는 마녀,삼월산타,9.40,5.3만
94,우당탕탕 한국어 선생 생존기,휘삐,9.85,137만
95,빨간 고백,야호,9.74,107만
96,카오스이론,노커,9.90,299만
97,노을지는밤,이진성,9.89,51만
98,열여섯과 스물 그 사이,무농이,8.96,58만
99,좀비 플래너,조녘,9.82,172만
100,어둠의 일상툰,도리도리,9.69,107만
101,우리집 강아지는 복슬강아지,luna****,9.87,713만
102,"뭐, 좀 느리면 어때",smfu****,9.54,49만
103,팔천의 독,녹빈후드,9.51,9.2만
104,기억 속 너에게,자니,8.96,41만
105,이상한 나라의 애리스 [단편],지으농,9.34,2.9만
106,자작 보드게임 동아리,서전트황,9.78,685만
107,전직 히키코모리 갱생툰,힝,9.65,79만
108,어쩌다 주짓수,HereC,9.64,82만
109,같은 반 남자애,next****,9.19,19만
110,런어웨이,하제,9.81,544만
111,이데아 프로젝트,upmo****,9.83,195만
112,위험한 후배,니나노,8.53,12만
113,아포피스,밀성,9.70,5.4만
114,오늘의 난,난그림,9.40,68만
115,일월의 선화,모니,9.81,89만
116,보통의 외톨이,다다,9.88,22만
117,인삼류,인삼류,9.47,87만
118,육식 토끼,모순도순,9.75,162만
119,나태한 마왕은 신과 싸우기로 결심한다.,백창훈,9.87,115만
120,별종위기종,herr****,9.77,11만
121,달링은 넷우익,쿠,9.65,154만
122,직업 : 며느리,쿄쿄,9.50,187만
123,곱은 궤,고등어,9.63,"3,885"
