,약국명,주소,전화번호
0,100세건강약국,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",02-445-1460
1,100세약국,"서울특별시 영등포구 양평로 24, (당산동6가)",02-2678-8217
2,13층약국,"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",070-7718-1316
3,1번약국,서울특별시 관악구 남부순환로 1832 1층,02-872-7583
4,1번약국,서울특별시 구로구 구로동로 132 (구로동),02-851-1155
5,1층메디컬약국,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",02-891-1112
6,1층엔약국,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014
7,1층천호약국,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",02-478-1178
8,1층호약국,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",02-933-9487
9,21C세계로약국,"서울특별시 강서구 화곡로 173 , 1층",02-2607-0624
10,21세기고려약국,서울특별시 성북구 고려대로 80 (안암동5가),02-929-9696
11,21세기메디칼약국,서울특별시 성동구 무수막길 97  (금호동2가),02-2252-6626
12,21세기상계약국,서울특별시 노원구 동일로 1548 (상계동),02-937-2288
13,21세기신천지약국,서울특별시 영등포구 영등포로 232-1 ,02-2678-3222
14,21세기약국,"서울특별시 광진구 용마산로 49, (중곡동)",02-2201-9469
15,21세기약국,서울특별시 관악구 신림로 370,02-888-2272
16,21세기약국,서울특별시 영등포구 여의대방로 177  (신길동),02-2678-2854
17,2층개포약국,"서울특별시 강남구 언주로7길 6, 213호 (개포동, 개포자이르네)",050-71378-2231
18,2층바른약국,"서울특별시 중구 다산로11길 3, 약수JK빌딩 2층 (신당동)",02-2233-6267
19,2층소망약국,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",02-2608-8096
20,2층스타약국,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",02-357-8889
21,2층써밋약국,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",02-797-8920
22,2층은약국,"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",02-6484-8248
