,약국명,주소,전화번호
0,365구생약국,"서울특별시 은평구 통일로 739, 1층 (대조동)",02-353-1144
1,365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223
2,365그린약국,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",02-2602-8006
3,365마트약국,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",02-2633-4865
4,365열린약국,서울특별시 관악구 남부순환로 1615  (신림동),02-874-2332
5,365열린약국,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",02-3661-3650
6,365열린약국,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",02-2633-2800
7,365열린약국,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",02-3666-0784
8,365자양미소약국,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",02-453-7985
9,365정화약국,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",02-935-4869
10,365종로약국,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",02-2215-8704
11,365플러스약국,"서울특별시 동대문구 천호대로 133, 홈플러스 동대문점 지하2층 (용두동)",02-963-0110
12,7번약국,"서울특별시 강북구 도봉로 339, 1층 (수유동)",02-904-7773
13,7형제약국,"서울특별시 강동구 진황도로 179, 1층 (둔촌동)",02-478-9855
14,W스토아청와약국,서울특별시 구로구 디지털로 227 (가리봉동),02-855-1482
15,가까운약국,"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",02-2671-8231
16,가까운약국,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",02-356-9813
17,가나안약국,"서울특별시 중랑구 봉우재로 39, (면목동)",02-434-9259
18,가산약국,서울특별시 금천구 가산로 116 (가산동),02-838-1158
19,강남구청역약국,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",02-511-6252
