,평점,추천인,관람평
0,8,연출 외+2,사람이 보이는 영화. 이념 같은 건 개나 줘 버려!!!
1,8,연출 외+3,간만에 긴장감 있음면서 연기까지 좋았던 영화.
2,10,연출 외+3,감동.. 감동.. 감동적이에요
3,8,연출 외+2,보면서 이게 실화라고? 하면서 봄.. 액션씬이 맘에 들어요
4,7,연출배우,다 보고나니 총소리만 기억난다
5,9,연출 외+3,잠시도 눈을뗄수 없이 시간가는줄 모르고 관람했다.
6,10,스토리,재밋엇습니다. 실화바탕이라 재밋네요.
7,10,영상미배우,매우 재미 있개 봤어요~
8,8,연출배우,간만에 긴장하며 봄
9,9,연출배우,현장감 넘치는 연출 강렬한 액션이 없는데도 깊이 몰입하고 빠져들게된다.
10,6,배우,부족함 없지만 특출나지도 않은
11,10,연출스토리,믿고보는 모가디슈 배우부터 짱
12,10,연출 외+4,재미있고 즐겁게봤습니다
13,10,연출 외+4,실화를 바탕으로 한 영화라 그런지 스릴 쫄깃
14,10,배우,극장에서 두 번 봤다.
15,10,연출 외+3,잘 봤습니다 추천합니다
16,7,스토리영상미,긴박함도 있고 더움이 여기서도 확 느껴짐
17,10,연출 외+2,감동실화&연출 모두 뛰어난 작품입니다!
18,10,스토리,실화를 바탕으로 한 영화라 더 집중됩니다
19,10,연출배우,시대적인 상황이 긴박 하네요
20,10,스토리배우,재미있게 봤다 ㅋㅋㅋㅋ
21,10,스토리배우,배우들의 연기력이 다 했던것 같습니다.
22,10,연출,좋았어요. 재미있구여
23,10,스토리배우,배우때문에 봤는데 스토리가 탄탄해서 놀랐음
24,10,스토리배우,결국은 이념영화이고 제3국에서 힘든생활 우리의 현실을 잘 반영한 좋은영화입니다
25,10,스토리영상미,실제 있었던일이라 더 집중하고 봤는데 재밌어요
26,6,배우,인상 깊은 무언가가 없었다.
27,10,영상미배우,너무 맘이 아팠던 영화
28,7,스토리배우,배우들연기가 괜찮네요 내용도재밌음
29,10,영상미배우,재미와 감동이 모두 뭉친 심장 쫄깃한 영화
30,10,스토리배우,아주 재밌음 배우들 연기도 짱
31,9,스토리배우,몰입하며 봤어요~재밌었네요
32,10,스토리영상미,영화로도보고 티비로도보고 완전좋아요
33,10,연출배우,생각보다 더더 재밌어용
34,9,스토리배우,조인성 짱 멋쪄용~
35,10,연출스토리,실감나는 실재사건의 이야기!
36,8,배우,멋진 배우들.. 볼만한 영화예요
37,8,스토리배우,실화라서 보긴 했는데 음~중간에 좀 지루했던 장면도 좀 있었지만 후반부에선 뭔가 뭉클함이...
38,8,스토리배우,연기 잘하네요 끝에 살짝 감동
39,10,영상미배우,구교환 배우님한테 빠지게 된 계기가 되어 준 영화
40,10,스토리,혼자 몰입해서 잘 보고옴
41,10,연출배우,"배우님들의 연기가 뛰어났고, 연출이 멋졌습니다."
42,10,영상미배우,재밌습니다 꼭보세요 굿굿
43,10,스토리영상미,공감되는 스토리! 가슴 뭉클!!!
44,10,연출스토리,한동안 헤어나오지 못했던 영화....
45,9,스토리배우,실화를 배경으로 한 스토리인 점이 좋고 담백한 연기가 좋아요
46,10,영상미,재미있었어요 !!!!
47,10,영상미배우,너무 재밌어서 영화관만 두 번가서 본 작품
48,10,연출스토리,배우와 연출 모두 완젹했던 영화 재미있었음
49,8,연출스토리,시간가는줄 모르고 본 영화
50,10,배우,재미있게 잘 봤습니다.
51,10,스토리배우,지루할틈없이 너무 재밌게 잘봤습니다.
52,10,스토리배우,우리 한민족의 터전인 하반도의 분단으로 인한 민족적 슬픔을 잘 드러낸 영화로서 여러 모로 의미 있게 감상할 수 있는 영화임.
