순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,태극기 휘날리며,2004-02-05,0,0.0%,"11,746,135",110,한국,한국,"(주)다자인소프트,(주)쇼박스"
2,실미도,2003-12-24,0,0.0%,"8,801,840",,한국,한국,(주)시네마서비스
3,어린 신부,2004-04-02,0,0.0%,"3,149,500",50,한국,한국,코리아픽쳐스(주)
4,말죽거리 잔혹사,2004-01-16,0,0.0%,"3,115,767",67,한국,한국,CJ ENM
5,귀신이 산다,2004-09-17,0,0.0%,"2,890,000",70,한국,한국,(주)시네마서비스
6,내 머리 속의 지우개,2004-11-05,0,0.0%,"2,565,078",68,한국,한국,CJ ENM
7,우리 형,2004-10-08,0,0.0%,"2,479,585",77,한국,한국,CJ ENM
8,바람의 파이터,2004-08-12,0,0.0%,"2,346,446",41,한국,한국,영화사청어람(주)
9,내 여자친구를 소개합니다,2004-06-03,0,0.0%,"2,199,359",75,한국,한국,"CJ ENM,아이러브시네마"
10,늑대의 유혹,2004-07-22,0,0.0%,"2,189,453",40,한국,한국,(주)쇼박스
11,범죄의 재구성,2004-04-15,0,0.0%,"2,129,358",50,한국,한국,(주)쇼박스
12,아라한 장풍대작전,2004-04-30,0,0.0%,"2,050,000",87,한국,한국,(주)시네마서비스
13,시실리 2km,2004-08-13,0,0.0%,"1,987,380",36,한국,한국,(주)쇼박스
14,효자동 이발사,2004-05-05,0,0.0%,"1,972,377",65,한국,한국,(주)쇼박스
15,가족,2004-09-03,0,0.0%,"1,932,304",44,한국,한국,(주)튜브엔터테인먼트
16,목포는 항구다,2004-02-20,0,0.0%,"1,795,700",32,한국,한국,코리아픽쳐스(주)
17,알포인트,2004-08-20,0,0.0%,"1,689,000",42,한국,한국,(주)시네마서비스
18,S 다이어리,2004-10-22,0,0.0%,"1,531,840",58,한국,한국,"CJ ENM,아이러브시네마"
19,내사랑 싸가지,2004-01-16,0,0.0%,"1,513,000",33,한국,한국,(주)시네마서비스
20,주홍글씨,2004-10-29,0,0.0%,"1,437,549",76,한국,한국,(주)쇼박스
21,"달마야, 서울 가자",2004-07-09,0,0.0%,"1,272,000",54,한국,한국,(주)시네마서비스
22,역도산,2004-12-15,0,0.0%,"1,249,794",70,한국,한국,CJ ENM
23,신부수업,2004-08-05,0,0.0%,"1,242,476",56,한국,한국,코리아픽쳐스(주)
24,그녀를 믿지 마세요,2004-02-20,0,0.0%,"1,204,000",43,한국,한국,(주)시네마서비스
25,여선생 VS 여제자,2004-11-17,0,0.0%,"1,175,580",55,한국,한국,CJ ENM
26,령,2004-06-17,0,0.0%,"1,108,769",35,한국,한국,(주)쇼박스
27,내 남자의 로맨스,2004-07-16,0,0.0%,"1,083,556",47,한국,한국,CJ ENM
