title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month
히말라야,127,12세이상,이석훈,402000000000.0,51813065,3673,410,6.6,10,4,12
내부자들: 디 오리지널,180,18세이상,우민호,118000000000.0,14495472,3613,3,9.0,9,3,12
내부자들,130,18세이상,우민호,113000000000.0,14137958,3500,311,8.2,9,4,11
마약왕,139,18세이상,우민호,58666355568.0,6726040,3180,505,5.5,9,3,12
조선마술사,122,12세이상,김대승,17615948308.0,2381871,1390,438,6.3,4,3,12
대호,139,12세이상,박훈정,53542024728.0,6991441,993,521,7.8,9,2,12
브이아이피,127,18세이상,박훈정,51048276131.0,6366785,2707,527,6.1,9,1,8
마녀,125,15세이상,박훈정,152000000000.0,17781126,4669,419,8.0,9,1,6
신세계,134,18세이상,박훈정,34892973605.0,4684571,2000,308,8.6,9,2,2
뽀로로 극장판 컴퓨터 왕국 대모험,62,전체관람가,박영균,16229563100.0,2188803,335,196,8.0,5,1,12
나를 잊지 말아요,106,15세이상,이윤정,12577850600.0,1568349,1339,244,6.3,1,3,1
극적인 하룻밤,107,18세이상,하기호,2616499429.0,321616,700,279,6.7,5,3,12
애수의 샌프란시스코,96,전체관람가,정소영,796000.0,405,1,0,3.25,4,1,3
미워도 다시 한번 3,91,12세이상,정소영,9322000.0,4661,3,0,6.2,4,1,1
너는 내 운명,95,18세이상,정소영,1312000.0,656,1,5,8.9,4,1,3
잡아야 산다,96,15세이상,오인천,722905000.0,95088,427,172,3.8,1,3,1
그날의 분위기,103,15세이상,조규장,28010980672.0,3539761,1640,249,5.9,7,4,1
목격자,111,15세이상,조규장,95714310361.0,11072236,3656,289,5.4,7,2,8
순정,113,12세이상,이은희,8593153465.0,1183698,998,243,8.3,4,1,2
극장판 꼬마버스 타요의 에이스 구출작전,48,전체관람가,류정우,3769705800.0,561495,522,167,8.8,7,1,1
검사외전,126,15세이상,이일형,625000000000.0,78424737,6654,430,6.5,10,4,2
동주,110,12세이상,이준익,162000000000.0,21410874,2845,128,8.9,8,3,2
사도,125,12세이상,이준익,48845771501.0,6247607,3000,345,7.9,8,4,9
박열,128,12세이상,이준익,149000000000.0,19386924,4031,340,8.0,8,2,6
최강전사 미니특공대: 영웅의 탄생,68,전체관람가,이영준,2837265500.0,377602,874,105,8.1,3,1,2
미니특공대X,67,전체관람가,이영준,3227723300.0,431355,1031,161,4.0,3,1,3
번개맨,72,전체관람가,조근현,1923043300.0,254895,727,279,5.8,4,1,2
그것만이 내 세상,120,12세이상,조근현,154000000000.0,19107461,4849,296,8.8,4,4,1
좋아해줘,122,12세이상,박현진,29124410685.0,3755094,1784,283,8.0,6,4,2
귀향,127,15세이상,조정래,214000000000.0,28146698,4315,204,9.7,9,3,2
남과 여,115,18세이상,이윤기,7524302465.0,926612,1029,238,7.5,4,1,2
어느날,113,15세이상,이윤기,6749048028.0,852947,1350,207,7.5,4,1,4
무수단,87,15세이상,구모,244607300.0,30286,419,164,3.2,2,4,3
널 기다리며,108,18세이상,모홍진,22733841460.0,2747708,1794,269,7.4,9,1,3
수상한 언니들,97,18세이상,노진수,2583000.0,466,21,40,6.7,1,1,3
사랑받지 못한 여자,87,18세이상,노진수,2097000.0,327,14,51,6.7,1,1,1
"날, 보러와요",90,18세이상,이철하,44472020524.0,5334514,2465,182,6.2,7,1,4
대배우,108,12세이상,석민우,4656738912.0,632280,1085,245,6.1,9,3,3
헬머니,108,18세이상,신한솔,4121861972.0,523494,1000,226,6.9,4,2,3
해어화,120,15세이상,박흥식,19935584602.0,2556656,1880,323,6.7,5,4,4
극장판 프랭키와 친구들: 생명의 나무,71,전체관람가,박정오,2471362500.0,329378,553,68,8.4,3,1,4
위대한 소원,93,15세이상,남대중,8859296887.0,1111309,1460,181,8.0,5,1,4
기방도령,110,15세이상,남대중,11033413210.0,1354364,1394,312,6.7,5,4,7
시간이탈자,107,15세이상,곽재용,40817381680.0,5017357,2690,380,6.8,7,3,4
클래식,132,12세이상,곽재용,261990800.0,36237,197,148,9.1,7,3,1
곡성,156,15세이상,나홍진,542000000000.0,66710331,6574,382,7.3,10,1,5
탐정 홍길동: 사라진 마을,125,15세이상,조성희,73517789497.0,9100398,2522,546,7.5,7,3,5
극장판 안녕 자두야,75,전체관람가,손석우,10032181200.0,1312922,1005,114,6.9,4,3,5
엽기적인 그녀 2,99,15세이상,조근식,2181095500.0,280346,815,244,3.2,3,1,5
