,제목,개봉,관람등급,평점
0,히말라야,2015.12.16,12세이상관람가,6.6
1,내부자들: 디 오리지널,2015.12.31,청소년관람불가,9.0
2,조선마술사,2015.12.30,12세이상관람가,6.3
3,대호,2015.12.16,12세이상관람가,7.8
4,내부자들,2015.11.19,청소년관람불가,8.2
5,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,전체관람가,8.0
6,나를 잊지 말아요,2016.01.07,15세이상관람가,6.3
7,극적인 하룻밤,2015.12.03,청소년관람불가,6.7
8,애수의 샌프란시스코,1975.03.28,전체관람가,6.7
9,잡아야 산다,2016.01.07,15세이상관람가,3.8
10,그날의 분위기,2016.01.14,15세이상관람가,5.9
11,오빠생각,2016.01.14,15세이상관람가,5.9
12,순정,2016.02.24,12세이상관람가,8.3
13,극장판 꼬마버스 타요의 에이스 구출작전,2016.01.21,전체관람가,8.8
14,"로봇, 소리",2016.01.27,12세이상관람가,7.6
15,검사외전,2016.02.03,15세이상관람가,6.5
16,동주,2016.02.17,12세이상관람가,8.9
17,최강전사 미니특공대: 영웅의 탄생,2016.02.17,12세이상관람가,8.9
18,번개맨,2016.02.11,전체관람가,5.8
19,좋아해줘,2016.02.17,12세이상관람가,8.0
20,귀향,2016.02.24,15세이상관람가,9.7
21,남과 여,2016.02.25,청소년관람불가,7.5
22,무수단,2016.03.03,15세이상관람가,3.2
23,널 기다리며,2016.03.10,청소년관람불가,7.4
24,수상한 언니들,2016.03.03,청소년관람불가,6.7
25,히야,2016.03.10,12세이상관람가,9.2
26,일사각오,2016.03.17,12세이상관람가,9.2
27,땡볕,1985.08.01,청소년관람불가,5.2
28,"날, 보러와요",1985.08.01,청소년관람불가,5.2
29,대배우,2016.03.30,12세이상관람가,6.1
30,헬머니,2015.03.05,청소년관람불가,6.9
31,별아 내 가슴에,2015.03.05,청소년관람불가,6.9
32,해어화,2016.04.13,15세이상관람가,6.7
33,극장판 프랭키와 친구들: 생명의 나무,2016.04.13,전체관람가,8.4
34,위대한 소원,2016.04.20,15세이상관람가,8.0
35,시간이탈자,2016.04.13,15세이상관람가,6.8
36,곡성,2016.04.13,15세이상관람가,6.8
37,이조 여인잔혹사,2016.04.13,15세이상관람가,6.8
38,탐정 홍길동: 사라진 마을,2016.05.04,15세이상관람가,7.5
39,계춘할망,2016.05.19,15세이상관람가,8.6
40,극장판 안녕 자두야,2016.05.04,전체관람가,6.9
41,엽기적인 그녀 2,2016.05.12,15세이상관람가,3.2
42,특별수사: 사형수의 편지,2016.06.16,15세이상관람가,7.6
43,착한 여비서의 목적,2016.05.20,청소년관람불가,3.0
44,아가씨,2016.06.01,청소년관람불가,6.8
45,무서운 이야기 3 : 화성에서 온 소녀,2016.06.01,청소년관람불가,6.8
46,굿바이 싱글,2016.06.29,15세이상관람가,7.5
47,미워도 다시 한번 3,1970.01.01,15세이상관람가,7.5
48,비밀은 없다,2016.06.23,청소년관람불가,7.2
49,어느 여대생의 고백,1980.01.01,청소년관람불가,5.5
50,봉이 김선달,2016.07.06,12세이상관람가,6.7
51,사냥,2016.07.06,12세이상관람가,6.7
52,젊은엄마 : 디 오리지널,2016.06.23,청소년관람불가,6.9
53,너는 내 운명,2005.09.23,청소년관람불가,8.9
54,빅뱅 메이드,2016.06.30,12세이상관람가,8.9
55,백사부인,2016.06.30,12세이상관람가,8.9
56,트릭,2016.07.13,15세이상관람가,6.3
57,부산행,2016.07.20,15세이상관람가,7.3
58,인천상륙작전,2016.07.27,"12세이상관람가 , 15세이상관람가(재개봉)",5.6
59,국가대표 2,2016.07.27,"12세이상관람가 , 15세이상관람가(재개봉)",5.6
60,덕혜옹주,2016.08.03,12세이상관람가,7.3
61,터널,2016.08.03,12세이상관람가,7.3
62,렌의 애가,1969.10.16,청소년관람불가,7.3
63,탐정사무소-평강공주와 바보온달 무삭제판,1969.10.16,청소년관람불가,7.3
64,색다른 정사,2016.08.18,청소년관람불가,7.3
65,죽은 자와 산 자,2016.08.18,청소년관람불가,7.3
66,태양은늙지않는다,2016.08.18,청소년관람불가,7.3
67,"시발, 놈: 인류의 시작",2016.08.18,15세이상관람가,4.7
68,"고산자, 대동여지도",2016.09.07,전체관람가,7.3
69,올레,2016.08.25,15세이상관람가,6.9
70,마포사는 황부자,2016.08.25,15세이상관람가,6.9
71,밀정,2016.09.07,15세이상관람가,7.7
72,달빛궁궐,2016.09.07,전체관람가,5.8
73,돈,2019.03.20,15세이상관람가,6.8
74,협객 김두한,1975.06.05,15세이상관람가,7.0
75,인천상륙작전 : 익스텐디드 에디션(확장판),1975.06.05,15세이상관람가,7.0
76,살인의 추억,2003.04.25,15세이상관람가,9.4
77,대결,2003.04.25,15세이상관람가,9.4
78,아수라,2016.09.28,청소년관람불가,6.8
79,원점,2016.09.28,청소년관람불가,7.0
80,럭키,2016.09.28,청소년관람불가,7.0
81,돈 맛,2016.09.29,청소년관람불가,7.0
82,적도의 꽃,1983.10.29,청소년관람불가,3.8
83,진시황제와 만리장성,1983.10.29,청소년관람불가,4.0
84,엄마의 남자,1983.10.29,청소년관람불가,4.0
85,걷기왕,2016.10.20,12세이상관람가,6.9
86,와룡선생 상경기,2016.10.20,전체관람가,8.5
87,미워도 다시 한번 '80,1980.06.21,12세이상관람가,4.5
88,사랑하기 때문에,2017.01.04,12세이상관람가,7.8
89,혼숨,2016.10.26,15세이상관람가,6.2
90,철낭자,1971.04.30,15세이상관람가,6.2
91,스플릿,2016.11.09,15세이상관람가,7.6
92,만추,2011.02.17,15세이상관람가,7.2
93,가려진 시간,2016.11.16,12세이상관람가,7.6
94,대결투,1973.02.23,15세이상관람가,7.6
95,형,2016.11.23,12세이상관람가,7.3
96,사도,2015.09.16,12세이상관람가,7.9
97,물레방아,1986.05.03,청소년관람불가,7.9
98,아더왕의 전설,2016.11.09,전체관람가,7.9
99,판도라,2016.12.07,12세이상관람가,7.7
100,미씽: 사라진 여자,2016.11.30,15세이상관람가,7.6
101,두 남자,2016.11.30,청소년관람불가,6.3
102,죽음의 다섯 손가락,2016.11.30,청소년관람불가,6.3
103,암살,2016.11.30,청소년관람불가,6.3
104,생사투,1974.02.28,15세이상관람가,6.0
105,유령,1974.02.28,15세이상관람가,6.0
106,"당신, 거기 있어줄래요",2016.12.14,12세이상관람가,8.2
107,목숨 건 연애,2016.12.14,15세이상관람가,5.1
108,하얀 까마귀,2016.12.14,15세이상관람가,9.9
109,마스터,2016.12.14,15세이상관람가,9.9
110,무영탑,2016.12.14,15세이상관람가,6.7
111,눈물의 여인,1969.02.01,15세이상관람가,6.7
112,아 백범 김구선생,1969.02.01,15세이상관람가,6.7
113,공조,2017.01.18,15세이상관람가,7.2
114,더 킹,2017.01.18,15세이상관람가,7.5
115,칠수와 만수,1988.11.26,15세이상관람가,7.8
116,음란 과외 - 무삭제판,1988.11.26,15세이상관람가,7.8
117,음란 선비 - 무삭제판,1988.11.26,15세이상관람가,7.8
118,스와핑 하던 날,2017.01.10,청소년관람불가,7.8
119,왕자 호동,2017.01.10,청소년관람불가,7.8
120,2017 한국영화아카데미 33기 졸업영화제 - B,2017.01.10,청소년관람불가,7.8
121,2017 한국영화아카데미 33기 졸업영화제 - D,2017.01.10,청소년관람불가,7.8
122,2017 한국영화아카데미 33기 졸업영화제 - C,2017.01.10,청소년관람불가,7.8
123,2017 한국영화아카데미 33기 졸업영화제 - A,2017.01.10,청소년관람불가,7.8
124,사랑받지 못한 여자,2017.01.25,청소년관람불가,6.7
125,여사장,2017.01.25,청소년관람불가,7.2
126,재심,2017.02.15,15세이상관람가,8.2
127,미용실 : 특별한 서비스 무삭제,2017.02.15,15세이상관람가,8.2
