,title,moviecode,openDt
0,히말라야,20136068,2015-12-16
1,내부자들: 디 오리지널,20150025,2015-12-31
2,조선마술사,20144442,2015-12-30
3,대호,20145171,2015-12-16
4,내부자들,20149314,2015-11-19
5,뽀로로 극장판 컴퓨터 왕국 대모험,20156807,2015-12-10
6,나를 잊지 말아요,20142641,2016-01-07
7,극적인 하룻밤,20157501,2015-12-03
8,애수의 샌프란시스코,19750002,1975-03-28
9,잡아야 산다,20152370,2016-01-07
17,그날의 분위기,20068576,2016-01-14
19,오빠생각,20158483,2016-01-21
28,순정,20151021,2016-02-24
34,극장판 꼬마버스 타요의 에이스 구출작전,20150566,2016-01-21
35,"로봇, 소리",20157466,2016-01-27
46,검사외전,20145507,2016-02-03
48,동주,20158482,2016-02-17
53,최강전사 미니특공대: 영웅의 탄생,20159657,2016-02-04
58,번개맨,20150903,2016-02-11
68,좋아해줘,20150977,2016-02-17
74,귀향,20161364,2016-02-24
79,남과 여,20145502,2016-02-25
88,무수단,20152541,2016-03-03
98,널 기다리며,20145396,2016-03-10
99,수상한 언니들,20157105,2016-03-03
104,히야,20161722,2016-03-10
113,일사각오,20162381,2016-03-17
119,땡볕,19850051,1985-08-01
125,"날, 보러와요",20152782,2016-04-07
127,대배우,20150902,2016-03-30
128,헬머니,20148841,2015-03-05
139,별아 내 가슴에,19580061,1958-05-31
145,해어화,20145506,2016-04-13
146,극장판 프랭키와 친구들: 생명의 나무,20162431,2016-04-13
147,위대한 소원,20159641,2016-04-21
148,시간이탈자,20142621,2016-04-13
159,곡성,20140194,2016-05-12
169,이조 여인잔혹사,20110020,1969-05-02
175,탐정 홍길동: 사라진 마을,20142406,2016-05-04
178,계춘할망,20156559,2016-05-19
179,극장판 안녕 자두야,20162704,2016-05-04
192,엽기적인 그녀 2,20143509,2016-05-12
197,특별수사: 사형수의 편지,20159645,2016-06-16
209,착한 여비서의 목적,20164001,2016-05-20
213,아가씨,20144444,2016-06-01
219,무서운 이야기 3 : 화성에서 온 소녀,20158242,2016-06-01
226,굿바이 싱글,20150972,2016-06-29
237,미워도 다시 한번 3,19700035,1970-01-01
245,비밀은 없다,20140704,2016-06-23
246,어느 여대생의 고백,20125428, 
254,봉이 김선달,20159644,2016-07-06
257,사냥,20154906,2016-06-29
258,젊은엄마 : 디 오리지널,20165801,2016-06-23
259,너는 내 운명,19800019,1980-03-28
265,빅뱅 메이드,20165042,2016-06-30
268,백사부인,20112773,1960-10-02
279,트릭,20158982,2016-07-13
281,부산행,20156564,2016-07-20
294,인천상륙작전,20156250,2016-07-27
303,국가대표 2,20150968,2016-08-10
304,덕혜옹주,20150979,2016-08-03
307,터널,20154910,2016-08-10
308,렌의 애가,20080893,1969-01-01
318,탐정사무소-평강공주와 바보온달 무삭제판,20165381,2016-06-15
319,색다른 정사,20167541,2016-08-04
327,죽은 자와 산 자,20167643, 
328,태양은늙지않는다,20166542, 
329,"시발, 놈: 인류의 시작",20152105,2016-08-18
336,"고산자, 대동여지도",20159648,2016-09-07
337,올레,20150901,2016-08-25
338,마포사는 황부자,20166163, 
346,밀정,20159646,2016-09-07
347,달빛궁궐,20166541,2016-09-07
349,돈,19580069,1950-03-09
359,협객 김두한,19750155,1975-06-05
369,인천상륙작전 : 익스텐디드 에디션(확장판),20160041,2016-09-13
377,살인의 추억,20030046,2003-04-25
382,대결,20162022,2016-09-22
384,아수라,20153443,2016-09-28
388,원점,19678075, 
393,럭키,20153444,2016-10-13
396,돈 맛,20160761,2016-09-29
407,적도의 꽃,20080690,1983-10-29
408,진시황제와 만리장성,20161082, 
409,엄마의 남자,20160510, 
413,걷기왕,20151022,2016-10-20
424,와룡선생 상경기,19628028, 
427,미워도 다시 한번 '80,19800040,1980-06-21
428,사랑하기 때문에,20150966,2017-01-04
429,혼숨,20150564,2016-10-26
435,철낭자,20108894,1971-04-30
437,스플릿,20163521,2016-11-09
439,만추,20112212,1982-02-28
443,가려진 시간,20154905,2016-11-16
446,대결투,19730092,1973-02-23
454,형,20154661,2016-11-23
456,사도,20148846,2015-09-16
457,물레방아,19660041,1966-11-10
458,아더왕의 전설,20163107,2016-11-09
468,판도라,20144641,2016-12-07
474,미씽: 사라진 여자,20153741,2016-11-30
475,두 남자,20160472,2016-11-30
